pagepford;2017-07-24 19:40;0;0;"@ SenJoniErnst Please vote YES for the health bill. It is a start and better than the failing O Care that is imploding! https://twitter.com/protectcare/status/888425466683674624 …";;@;;"889631359249113090";https://twitter.com/pagepford/status/889631359249113090
Allisongk9700;2017-07-24 19:36;0;0;"@ ChuckGrassley @ SenJoniErnst I hope you realize that many who wanted to repeal Obamacare didn't know it was the same as ACA. VOTE NO";;@ @;;"889630519583002624";https://twitter.com/Allisongk9700/status/889630519583002624
emilyholley;2017-07-24 19:32;0;0;"@ SenJoniErnst please vote no on # trumpcare. Americans deserve to know everything in the bill BEFORE it becomes law. # Healthcare";;@;# #;"889629461167079427";https://twitter.com/emilyholley/status/889629461167079427
ClayPasqual;2017-07-24 18:53;0;1;"Called @ ChuckGrassley and @ SenJoniErnst this afternoon to tell them to vote NO on # Trumpcare tomorrow. # RejectTrumpcare # SaveObamacare";;@ @;# # #;"889619481256964097";https://twitter.com/ClayPasqual/status/889619481256964097
TeriGRight;2017-07-24 18:52;2;1;". @ SenJoniErnst Obamacare 2.0 isn't the promise! # FullRepeal is! # PJNETpic.twitter.com/OgjBpfSKeT";;@;# #;"889619336171749376";https://twitter.com/TeriGRight/status/889619336171749376
SaoirseMoore;2017-07-24 18:32;0;0;"@ mikecrapo @ jimrisch @ sentoddyoung @ senjoniernst @ senpatroberts @ jerrymoran VOTE NO on healthcare bill CONSTITUENTS FIRST";;@ @ @ @ @ @;;"889614360028557312";https://twitter.com/SaoirseMoore/status/889614360028557312
According2Bob;2017-07-24 18:17;0;0;"Senators @ ChuckGrassley & @ SenJoniErnst - As your constituent, I ask that you not repeal our health care.";;@ @;;"889610484030341126";https://twitter.com/According2Bob/status/889610484030341126
MikeTho22183359;2017-07-24 17:57;0;0;"Didn't Iowa vote for trump? I am thinking Iowans want obama care gone";;;;"889605511078965248";https://twitter.com/MikeTho22183359/status/889605511078965248
xjhannon;2017-07-24 17:52;0;0;"@ chuckgrassley @ SenJoniErnst my senators, vote NO on @ SenateMajLdr disastrous, mystery healthcare bill. Do it for country. # HealthcareBill";;@ @ @;#;"889604320353820672";https://twitter.com/xjhannon/status/889604320353820672
lcollinsp;2017-07-24 17:52;0;20;"If you ever wondered what @ lizzaretsky and I do for fun, it's a lot of calling @ SenRonJohnson & @ SenJoniErnst about health care. pic.twitter.com/1T3ueLk58M";;@ @ @;;"889604136257409025";https://twitter.com/lcollinsp/status/889604136257409025
MaryBethKirk7;2017-07-24 17:39;0;0;"http://www.politico.com/magazine/story/2017/03/four-things-trump-could-do-right-now-to-fix-obamacare-214962 …";;;;"889600930441814016";https://twitter.com/MaryBethKirk7/status/889600930441814016
