paxromana5777;2017-07-24 19:56;0;0;"Your constituents are depending on you, @ SenAlexander & @ SenBobCorker. Vote 'no' on # Obamacare repeal. # WeVetsAreWatching!";;@ @;# #;"889635511823937537";https://twitter.com/paxromana5777/status/889635511823937537
PiscopoSf;2017-07-24 19:52;0;1;". @ SenAlexander Who do you work for? This bill puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/d0QdBB5lBd";;@;#;"889634472634830848";https://twitter.com/PiscopoSf/status/889634472634830848
tinap2012;2017-07-24 19:45;0;0;"@ SenAlexander imagine signing up for your healthcareLESS plan, that you are exempt from. How wrong is that!!! Force Americans to suffer.";;@;;"889632708292472832";https://twitter.com/tinap2012/status/889632708292472832
AdamBuzard;2017-07-24 19:36;0;3;"Please call & oppose the repeal of health care for your family & neighbors. For me. @ SenBobCorker 615-279-8125 @ SenAlexander 615-736-5129";;@ @;;"889630490017378307";https://twitter.com/AdamBuzard/status/889630490017378307
djbilan;2017-07-24 19:32;0;0;"@ SenAlexander please do not repeal Obamacare until a replacement is found. # medicalcareforoldandpoor. # compassion.";;@;# #;"889629275187539969";https://twitter.com/djbilan/status/889629275187539969
indivisible_tn;2017-07-24 19:15;3;4;"2/ Demand @ SenBobCorker @ SenAlexander vote NO on motion to proceed on repeal. # ProtectOurcare";;@ @;#;"889625075875532800";https://twitter.com/indivisible_tn/status/889625075875532800
ChristyCagle;2017-07-24 19:15;0;0;"@ SenAlexander don't put coverage for # bleedingdisorders at risk! Vote NO on MTP! # protectourcare # protectmedicaid";;@;# # #;"889625008875720709";https://twitter.com/ChristyCagle/status/889625008875720709
TNCouncilDD;2017-07-24 19:12;0;0;"@ SenBobCorker, @ SenAlexander Tennesseans w/ disabilities not served by Medicaid 'waivers' rely on families, ACA protections for their care.";;@ @;;"889624235362189313";https://twitter.com/TNCouncilDD/status/889624235362189313
ingesey;2017-07-24 19:08;0;6;"One of your constituents letting you know that I oppose any repeal or replacement of Obamacare proposed thus far. Vote no!";;;;"889623417191882753";https://twitter.com/ingesey/status/889623417191882753
DrPhelpsTN;2017-07-24 19:05;29;28;"Hello @ SenBobCorker & @ SenAlexander. @ lisamurkowski will # VoteNO on the bill. Will both of you follow her lead and # KillTheBillTuesday?https://twitter.com/protectcareak/status/889597478063849472 …";;@ @ @;# #;"889622508420378624";https://twitter.com/DrPhelpsTN/status/889622508420378624
